name,desc,pubmed,hyperlink,retired
ABC4DE,"The ABC4DE web-interface allows for the analysis of sets of variants within a region of interest. For a given variant, the tool reports: 1) if it falls within a predicted regulatory region; 2) the predicted role for that region (promoter/enhancer); and 3) if the variant will alter a potential TFBSs.",,,Yes
ASB data set,"ASB data set contains 10,765 ASB events retrieved from 45 ENCODE ChIP-Seq data sets.",27492288,,No
BiasAway,An open-access tool for generating multiple different sequence backgrounds of comparable nucleotide composition relative to a set of input sequences: https://github.com/wassermanlab/BiasAway,24927817,https://github.com/wassermanlab/BiasAway,No
Bioconductor data package for JASPAR,Transcription factor binding profile Bioconductor data package,26531826,http://www.bioconductor.org/packages/release/data/experiment/html/JASPAR2016.html,No
CAGEd-oPOSSUM,The webtool allows for the motif enrichment analysis of CAGE-derived transcription start sites (TSSs): http://cagedop.cmmt.ubc.ca/CAGEd_oPOSSUM/,27334471,http://cagedop.cmmt.ubc.ca/CAGEd_oPOSSUM/,Yes
cis-reg-pred,Open-access tool for the segmentation of the human genome. The tool uses a supervised machine learning approach to segment the human genome using experimental data in the same spirit as Segway and ChromHMM.,,https://github.com/yifeng-li/cis-reg_v1_0,No
DECRES,Deep learning for identifying cis-regulatory elements and other applications.,,https://github.com/yifeng-li/DECRES,Yes
Deep Learning Package in Python Based on The Deep Learning Tutorials and Theano,This deep learning package is an extension of the Deep Learning Tutorials (www.deeplearning.net/tutorial/).,,https://github.com/yifeng-li/deep_learning,Yes
DNAshapedTFBS,Python module allowing for the construction and application of machine learning classifiers combining TFFM/PSSM + DNA shape features for improving the predictions of TFBSs in ChIP-seq data-sets. Highlighted by PMID: 27684185,27546793,https://github.com/amathelier/DNAshapedTFBS,No
Gene Characerization Index,A bioinformatics method for scoring the extent to which a protein-encoding gene is functionally described:  http://www.cisreg.ca/gci/,18213364,,Yes
IEMBase,An expert knowledgebase and diagnosis support tool for inborn errors of metabolism: www.iembase.org,,http://iembase.org/app/,No
IndelImpact,Open-access software for the computation of the impact of insertions and deletions on transcription factor binding sites.,,https://github.com/wassermanlab/IndelImpact,No
JASPAR,"The 2016 version of the JASPAR database was publicly released on November 2016 and greatly expands the number of transcription factor binding profiles from 2014. Additionally, transcription factor flexible models (TFFMs) have been provided for 130 of the transcription factors. The structural annotation of the TF DNA binding domains (DBDs) has been changed to follow a published hierarchical structural classification and a new web tool has been included to infer JASPAR TF binding profiles recognized by a given TF protein sequence. Finally, A Ruby API module has been created to accompany the existing Perl and Biopython APIs and R/Bioconductor data package: http://jaspar.genereg.net/ ",26531826,http://jaspar.genereg.net/,No
JASPAR Biopython module,Biopython package to access and use JASPAR binding profiles.,26531826,https://github.com/biopython/biopython/tree/master/Bio/motifs/jaspar,No
JASPAR BioRuby gem,"Ruby gems for parsing, searching, and comparing JASPAR motifs; Based on Bio.motifs module in Biopython.",26531826,https://rubygems.org/gems/bio-jaspar,No
MANTA,SNV impact on TFBSs,25903198,,No
MANTA2,update of the Mongo database for the analysis of transcription factor binding site alterations: http://manta.cmmt.ubc.ca/manta2/,,,
MeSHOP,"Using Medical Subject Heading Overrepresentation Profiles (MeSHOPs), an entity of interest can be robustly summarized, quantitatively identifying associated biomedical terms and suggesting indirect associations: http://meshop.oicr.on.ca/meshop/index.html",23017167,http://meshop.oicr.on.ca/meshop/index.html,Yes
MSCAN,Algorithm that detects clusters of transcription factor binding sites in genomic sequences: http://www.cisreg.ca/cgi-bin/mscan/MSCAN,15215379,,Yes
NHRscan,A computational predictor of nuclear hormone receptor binding sites: http://www.cisreg.ca/cgi-bin/NHR-scan/nhr_scan.cgi ,15563547,http://www.cisreg.ca/cgi-bin/NHR-scan/nhr_scan.cgi,Yes
oPOSSUM3,A web-based system for the detection of over-represented conserved transcription factor binding sites and binding site combinations in sets of genes or sequences: http://opossum.cisreg.ca/oPOSSUM3/ ,22973536,http://opossum.cisreg.ca/oPOSSUM3/,Yes
ORCAtk,Transcription factor binding site detection using phylogenetic footprinting (alternative to ConSite): http://cisreg.cmmt.ubc.ca/cgi-bin/ORCAtk/orca  ,18971253,http://cisreg.cmmt.ubc.ca/ORCAtk/,Yes
PAZAR,An open-access system for the collection and dissemination of regulatory sequence annotation:  http://www.pazar.info/,17916232,,Yes
TFBS,Perl modules for transcription factor binding site detection and analysis: http://tfbs.genereg.net/,,,
TFBS perl modules,Perl modules for transcription factor binding site detection and analysis,26531826,http://tfbs.genereg.net/,No
TFBSTools,R/bioconductor package for transcription factor binding site analysis,26794315,http://www.bioconductor.org/packages/release/data/experiment/html/JASPAR2016.html,No
TFBS_Visualization,An open-access tool for visualizing and assessing transcription factor topological motif enrichment in ChIP-Seq datasets:  https://github.com/wassermanlab/TFBS_Visualization,,https://github.com/wassermanlab/TFBS_Visualization,No
TFCat,TFCat is a catalog of mouse and human TFs based on a reliable core collection of annotations obtained by expert review of the scientific literature: http://www.tfcat.ca/ ,19284633,,No
TFe,"An online encyclopedic collection of well-studied transcription factor proteins in the human, mouse, and rat genomes: http://www.cisreg.ca/cgi-bin/tfe/home.pl",22458515,https://github.com/wassermanlab/TFe,Yes
TFFM,Transcription Factor Flexible Models (TFFMs) are hidden Markov model (HMM) representations of TFBS motifs. This online tool allows you to generate TFFMs and scan sequences with them: https://github.com/wassermanlab/TFFM,24039567,,No
tfOS,A transcription factor occupancy simulator: https://github.com/wassermanlab/tfOS,,,
ConSite,Transcription factor binding site detection using phylogenetic footprinting. Note that this is an older tool which is hosted remotely. You may also be interested in our ORCAtk tool which is maintained locally and performs similar functionality: http://consite.genereg.net/ ,15215389,http://consite.genereg.net/,Yes
dbMTN,Multiple Tissue Northern Blot Comparison Tool: http://www.cisreg.ca/cgi-bin/dbmtn/index.pl,18629180,http://www.cisreg.ca/cgi-bin/dbmtn/index.pl,Yes
Gene Set Builder,"A tool for collation, curation and distribution of sets of genes: http://www.cisreg.ca/gsb/",16371163,http://www.cisreg.ca/gsb/,Yes
GeneLynx,"A portal to the human genome. This tool was developed to fulfill a need for easily accessible gene information at a particular point in time. Having fulfilled its purpose, this tool has been retired. Current tools are available to provide similar services.",11731507,,Yes
GeneYenta,A tool for clinicians to make connections to share genetic data by being matched using phenotype data: https://geneyenta.com/accounts/home/,,,
GOToolBox,Functional Investigation of Gene Datasets: http://genome.crg.es/GOToolBox/,15575967,http://genome.crg.es/GOToolBox/,Yes
JASPAR 2014,"The 2014 version of the JASPAR database was publicly released on November 2013 with the incorporation of new and updated transcription factor binding profiles. Beyond the transcription factor binding profiles, we provide the ChIP-seq derived sequences that have been used to construct the profiles.",24194598,http://jaspar2014.genereg.net/,Yes
NovelFam3000,A bioinformatics tool created to accelerate characterization of gene families sharing uncharacterized protein domains,16533400,http://www.cisreg.ca/NovelFam/,Yes
